iter	RMSE
0	10.8420308211	9.781468422	2	8.817268053	3	7.950069534	4	7.167289445	5	6.463154436	6	5.833861847	7	5.262897878	8	4.745607999	9	4.28440841110	3.867541411111	3.490707212112	3.150706311313	2.843816141414	2.566167151515	2.317533161616	2.093703171717	1.893074181818	1.711734191919	1.5482620	2020	1.401321	12121	1.270922	122	1.15189723	23	1.046759624	24	0.9525215425	25	0.8670723926226	0.7897044927227	0.7224813428228	0.6606715629229	0.6055691030330	0.5585716231331	0.5137421432332	0.4740565633333	0.4399181334334	0.4102480635335	0.3855820936336	0.3604056037337	0.340190603838	0.3215836773939	0.3055094774040	0.29167573441	0.2786445016442	0.2683548395443	0.2594072954444	0.2500220594545	0.2429056784646	0.237025483447	0.2321106531448	0.2267659292449	0.2222571938550	0.218270249
51	0.2137423509
52	0.2104036503
53	0.207277929
54	0.204749658
55	0.2024399378
56	0.2002716512
57	0.1981650489
58	0.1957743951
59	0.1939182223
60	0.1924673099
61	0.1906775156
62	0.188681024
63	0.1877653771
64	0.1865239462
65	0.1852785713
66	0.1843222483
67	0.183340981
68	0.1821795261
69	0.1807158212
70	0.1793409495
71	0.1784874444
72	0.1775239991
73	0.1765065735
74	0.1748815521
75	0.1738389439
76	0.1730190211
77	0.1715916979
78	0.1709673562
79	0.1706624171
80	0.1697064094
81	0.1688968993
82	0.1686675189
83	0.1676808931
84	0.1668580149
85	0.1663949815
86	0.1651962076
87	0.164363057
88	0.1632858986
89	0.1624670736
90	0.1618003637
91	0.1607725596
92	0.1601886988
93	0.1594255858
94	0.159049085
95	0.1583277064
96	0.1577273602
97	0.1569750372
98	0.1564350451
99	0.1554477193
100	0.1549172284
101	0.1540341884
102	0.1534733371
103	0.1529692014
104	0.1522560375
105	0.1517060668
106	0.1515354462
107	0.1513844204
108	0.1511559689
109	0.1509484265
110	0.1501952463
111	0.1494968396
112	0.1488622647
113	0.1485208687
114	0.1483953439
115	0.1481558302
116	0.14747733
117	0.1468457111
118	0.1463763785
119	0.1458231663
120	0.1453050682
121	0.1448517465
122	0.1447268717
123	0.1446187941
124	0.1441499198
125	0.1436891853
126	0.1430269105
127	0.14245639181128	0.14234816651129	0.14224594021130	0.14179224911131	0.14137560821132	0.14128065921133	0.14120797113134	0.14113866413135	0.14067611513136	0.14021619813137	0.13980319813138	0.13926884213139	0.13881025314140	0.13845277314141	0.1380760861142	0.13760822551143	0.137418173
144	0.137029374
145	0.1366861799
146	0.1366067795
147	0.136202809
148	0.1361275375
149	0.1357026152
150	0.135361559
151	0.1350556107
152	0.1349838704
153	0.1346165097
