iter	Passed	Remaining
0	396	792584
1	672	672003
2	921	613095
3	1157	577835
4	1396	557210
5	1635	543417
6	1873	533404
7	2110	525543
8	2337	517152
9	2580	513449
10	2824	510637
11	3167	524769
12	3506	535912
13	3747	531630
14	3989	527940
15	4222	523576
16	4461	520413
17	4700	517602
18	4933	514430
19	5167	511579
20	5407	509549
21	5650	508007
22	5892	506458
23	6133	504995
24	6375	503645
25	6635	503789
26	6871	502122
27	7110	500776
28	7346	499304
29	7583	498012
30	7823	496887
31	8067	496131
32	8307	495191
33	8554	494628
34	8791	493606
35	9029	492624
36	9267	491673
37	9501	490557
38	9736	489554
39	9980	489030
40	10223	488489
41	10467	487967
42	10702	487077
43	10942	486424
44	11176	485538
45	11431	485582
46	11670	484961
47	11908	484264
48	12171	484619
49	12425	484585
50	12668	484128
51	12913	483752
52	13158	483382
53	13400	482924
54	13644	482527
55	13885	482041
56	14122	481417
57	14361	480868
58	14604	480454
59	14838	479769
60	15085	479533
61	15325	479056
62	15566	478602
63	15811	478291
64	16055	477953
65	16292	477416
66	16538	477135
67	16777	476664
68	17013	476142
69	17252	475669
70	17493	475276
71	17739	475037
72	17979	474601
73	18215	474092
74	18450	473572
75	18689	473136
76	18932	472816
77	19165	472256
78	20848	506958
79	28573	685763
80	38385	909396
81	48166	1126636
82	57822	1335496
83	67926	1549363
84	77396	1743688
85	78383	1744479
86	78628	1728912
87	78868	1713607
88	79106	1698573
89	79353	1684067
90	79594	1669732
91	79834	1655700
92	80071	1641901
93	80309	1628403
94	80543	1615107
95	80781	1602170
96	81017	1589455
97	81252	1576970
98	81495	1564870
99	81733	1552937
100	81969	1541185
101	82211	1529776
102	82448	1518490
103	82690	1507502
104	82933	1496748
105	83176	1486194
106	83414	1475737
107	83655	1465517
108	83892	1455419
109	84184	1446442
110	84415	1436586
111	84652	1427003
112	84888	1417558
113	85129	1408375
114	85370	1399339
115	85614	1390499
116	85842	1381545
117	86080	1372910
118	86326	1364531
119	86566	1356206
120	86806	1348017
121	87039	1339832
122	87276	1331857
123	87509	1323936
124	87746	1316201
125	87996	1308766
126	88233	1301270
127	88476	1293967
128	88717	1286748
129	88963	1279712
130	89207	1272744
131	89453	1265902
132	89690	1259042
133	89939	1252446
134	90184	1245877
135	90417	1239254
136	90657	1232809
137	90890	1226361
138	91126	1220048
139	91367	1213881
140	91592	1207595
141	91801	1201178
142	93465	1213746
143	94179	1213866
144	94419	1207917
145	94666	1202131
146	94911	1196399
147	95155	1190727
148	95418	1185369
149	95661	1179828
150	95901	1174315
151	96140	1168861
152	96379	1163480
153	96612	1158099
154	96850	1152838
155	97086	1147607
156	97323	1142463
157	97568	1137474
158	97811	1132518
159	98057	1127656
160	98309	1122926
161	98547	1118086
162	98788	1113344
163	99026	1108617
164	99266	1103960
165	99503	1099339
166	99740	1094753
167	99992	1090393
168	100233	1085960
169	100469	1081525
170	100714	1077232
171	100945	1072836
172	101187	1068614
173	101432	1064454
174	101677	1060349
175	101943	1056508
176	102186	1052462
177	102425	1048422
178	102664	1044424
179	102904	1040478
180	103141	1036538
181	103375	1032623
182	103649	1029132
183	103889	1025341
184	104126	1021569
185	104361	1017805
186	104605	1014172
187	104846	1010544
188	105092	1006999
189	105337	1003479
190	105580	999978
191	105819	996467
192	106059	993005
193	106321	989772
194	106557	986342
195	106791	982921
196	107027	979546
197	107262	976200
198	107497	972875
199	107721	969495
200	107966	966329
201	108210	963184
202	108459	960103
203	108702	957008
204	108946	953942
205	109188	950893
206	109431	947881
207	109666	944819
208	110420	946235
209	112867	962060
210	113115	959067
211	113356	956044
212	113596	953033
213	113833	950032
214	114064	947000
215	114299	944029
216	114539	941124
217	114778	938236
218	115029	935468
219	115275	932687
220	115525	929956
221	115777	927265
222	116016	924487
223	116260	921779
224	116498	919044
225	116737	916340
226	116971	913615
227	117209	910947
228	117465	908433
229	117704	905815
230	117943	903208
231	118181	900622
232	118420	898064
233	118673	895627
234	118912	893109
235	119156	890644
236	119399	888192
237	119643	885762
238	119881	883311
239	120122	880899
240	120364	878510
241	120743	877134
242	120983	874762
243	121220	872391
244	121464	870085
245	121708	867791
246	121947	865479
247	122185	863182
248	122424	860904
249	122674	858720
250	122911	856463
251	123149	854230
252	123389	852024
253	123632	849853
254	123876	847704
255	124122	845583
256	124364	843455
257	124609	841357
258	124847	839225
259	125088	837131
260	125335	835092
261	125582	833065
262	125820	830988
263	126054	828903
264	126302	826926
265	126553	824973
266	126800	823017
267	127039	821014
268	127279	819036
269	127523	817096
270	127761	815130
271	128000	813176
272	128238	811240
273	128498	809449
274	130994	821695
275	131231	819718
276	131470	817772
277	131710	815849
278	131951	813938
279	132190	812028
280	132444	810223
281	132687	808357
282	132928	806493
283	133165	804621
284	133400	802746
285	133654	800994
286	133893	799163
287	134127	797311
288	134360	795467
289	134595	793648
290	134840	791896
291	135097	790227
292	135336	788464
293	135572	786691
294	135814	784963
295	136058	783253
296	136303	781563
297	136547	779876
298	136791	778199
299	137027	776491
300	137267	774806
301	137503	773112
302	137748	771482
303	137981	769789
304	138215	768117
305	138465	766536
306	138738	765096
307	138992	763556
308	139232	761946
309	139473	760357
310	139716	758781
311	139959	757218
312	140202	755661
313	140440	754084
314	140676	752506
315	140922	750991
316	141147	749373
317	141379	747800
318	141636	746365
319	141888	744912
320	142131	743423
321	142364	741885
322	142596	740356
323	142831	738846
324	143067	737349
325	143312	735906
326	143553	734451
327	143794	733000
328	144039	731582
329	144282	730157
330	144522	728725
331	144761	727295
332	145000	725871
333	145237	724449
334	145475	723032
335	145726	721691
336	145960	720272
337	146196	718870
338	146431	717472
339	146692	716205
340	149068	725231
341	149304	723823
342	149549	722461
343	149788	721074
344	150031	719717
345	150273	718359
346	150509	716981
347	150755	715655
348	150989	714280
349	151239	712984
350	151479	711650
351	151718	710319
352	151956	708985
353	152190	707643
354	152422	706294
355	152656	704962
356	152898	703674
357	153140	702394
358	153383	701120
359	153626	699855
360	153870	698598
361	154107	697316
362	154340	696021
363	154577	694748
364	154810	693467
365	155049	692215
366	155301	691026
367	155555	689856
368	155798	688636
369	156035	687398
370	156277	686189
371	156519	684981
372	156753	683747
373	157022	682670
374	157268	681496
375	157510	680312
376	157747	679107
377	158014	678042
378	158252	676851
379	158491	675676
380	158731	674503
381	158968	673328
382	159213	672186
383	159463	671075
384	159701	669916
385	159942	668775
386	160187	667653
387	160430	666530
388	160673	665412
389	160932	664361
390	161178	663265
391	161418	662145
392	161655	661017
393	161891	659894
394	162129	658778
395	162370	657682
396	162608	656575
397	162857	655520
398	163097	654434
399	163341	653367
400	163570	652243
401	163817	651196
402	164063	650145
403	164305	649086
404	164552	648051
405	164791	646987
406	167860	657006
407	170170	663998
408	170409	662888
409	170652	661798
