iter	Passed	Remaining
0	11	11071
1	21	10690
2	31	10431
3	41	10332
4	56	11257
5	67	11237
6	76	10885
7	88	10970
8	101	11122
9	111	11020
10	119	10731
11	128	10608
12	136	10361
13	146	10352
14	158	10401
15	167	10278
16	179	10367
17	191	10448
18	201	10428
19	212	10404
20	225	10489
21	239	10655
22	251	10684
23	262	10689
24	275	10730
25	284	10644
26	294	10621
27	304	10587
28	312	10476
29	322	10425
30	331	10369
31	342	10367
32	354	10399
33	362	10312
34	373	10308
35	385	10314
36	394	10265
37	403	10209
38	411	10131
39	423	10154
40	431	10082
41	437	9973
42	443	9866
43	451	9800
44	458	9722
45	465	9646
46	471	9556
47	478	9494
48	485	9424
49	492	9355
50	498	9279
51	504	9202
52	512	9150
53	518	9083
54	525	9030
55	533	8990
56	540	8946
57	547	8890
58	553	8827
59	560	8785
60	567	8742
61	575	8699
62	581	8644
63	588	8607
64	595	8561
65	601	8513
66	608	8474
67	615	8431
68	622	8393
69	628	8355
70	635	8319
71	642	8278
72	648	8239
73	655	8203
74	662	8168
75	669	8144
76	676	8104
77	683	8073
78	689	8042
79	696	8014
80	704	7987
81	710	7953
82	717	7928
83	724	7901
84	731	7875
85	737	7840
86	744	7815
87	752	7797
88	758	7768
89	766	7750
90	772	7718
91	779	7696
92	786	7667
93	792	7638
94	800	7621
95	806	7598
96	813	7577
97	820	7551
98	827	7534
99	834	7511
100	842	7497
101	848	7470
102	854	7443
103	862	7427
104	868	7405
105	875	7386
106	881	7360
107	889	7346
108	896	7325
109	902	7303
110	909	7286
111	915	7262
112	923	7247
113	929	7227
114	940	7240
115	954	7275
116	965	7285
117	976	7298
118	987	7312
119	997	7311
120	1004	7297
121	1011	7276
122	1018	7260
123	1024	7239
124	1031	7217
125	1038	7202
126	1045	7184
127	1053	7179
128	1060	7160
129	1069	7158
130	1078	7156
131	1090	7170
132	1098	7160
133	1105	7141
134	1112	7125
135	1119	7110
136	1125	7091
137	1133	7079
138	1139	7058
139	1146	7045
140	1152	7024
141	1159	7004
142	1166	6990
